id,pub_id,assigned,assigned_to,asssigned_timestamp
3029,PMC3114318,1,jackchristen,2018-02-23 10:46:07
3030,PMC4926004,1,tonyli0409,2018-02-23 10:46:44
3031,PMC5147225,1,caifand,2018-02-23 10:55:10
3032,PMC5048000,1,shruti2611,2018-02-23 10:58:51
3033,PMC4214812,1,realrichardparker,2018-02-23 11:06:13
3034,PMC3245093,1,jackchristen,2018-02-23 11:08:15
3035,PMC4802553,1,tonyli0409,2018-02-23 11:23:32
3036,PMC4105802,1,tonyli0409,2018-02-23 11:24:55
3037,PMC3555582,1,joelabraham1995,2018-02-23 11:32:07
3038,PMC3583926,1,tonyli0409,2018-02-23 11:33:21
3039,PMC3263862,1,ambermomin,2018-02-23 11:34:19
3040,PMC4892849,1,joelabraham1995,2018-02-23 11:40:27
3041,PMC2761268,1,shruti2611,2018-02-23 11:43:21
3042,PMC3245946,1,courtneybroderick,2018-02-23 17:17:22
3043,PMC3182444,1,meganpearson,2018-02-23 18:25:34
3044,PMC1874646,1,courtneybroderick,2018-02-23 18:41:01
3045,PMC4538243,1,evelynkue,2018-02-23 22:10:04
3046,PMC3278951,1,evelynkue,2018-02-23 22:38:38
3047,PMC4860852,1,henryrossiter,2018-02-23 22:47:01
3048,PMC3886109,1,henryrossiter,2018-02-23 23:01:31
3049,PMC2684974,1,henryrossiter,2018-02-23 23:21:58
3050,PMC5293301,1,henryrossiter,2018-02-23 23:31:33
3051,PMC3349032,1,yashkar,2018-02-24 01:50:18
